Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR243845,241364400,CEU,EUR,NA07056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243845/9378_4%231.bam
ERR242793,245269400,TSI,EUR,NA20539,
ERR243530,250603000,CEU,EUR,NA07056,
ERR240300,251891600,JPT,EAS,NA18949,
ERR242237,255006400,TSI,EUR,NA20539,
ERR243095,259733600,CEU,EUR,NA07056,
ERR239754,261617400,LWK,AFR,NA19437,
ERR240075,262406800,JPT,EAS,NA18949,
ERR243859,263207200,CEU,EUR,NA12749,
ERR243846,264251200,CEU,EUR,NA11893,
ERR244778,264258000,TSI,EUR,NA20798,
ERR240777,265927200,TSI,EUR,NA20539,
ERR239756,269159400,LWK,AFR,NA19446,
ERR244970,272349600,CEU,EUR,NA07056,
ERR239709,272686800,LWK,AFR,NA19437,
ERR244907,272823800,CEU,EUR,NA07056,
ERR244949,273195400,CEU,EUR,NA07056,
ERR244865,273625600,CEU,EUR,NA07056,
ERR244886,274101600,CEU,EUR,NA07056,
ERR243544,274405600,CEU,EUR,NA12749,
ERR244928,274521400,CEU,EUR,NA07056,
ERR244826,275211800,CEU,EUR,NA07056,
ERR243782,275248000,CEU,EUR,NA07056,
ERR242245,275377200,TSI,EUR,NA20798,
ERR243531,275389800,CEU,EUR,NA11893,
ERR242806,275789600,TSI,EUR,NA20510,
ERR244847,275798400,CEU,EUR,NA07056,
ERR243124,276220400,CEU,EUR,NA07056,
ERR239775,276304800,JPT,EAS,NA18949,
ERR243145,276407200,CEU,EUR,NA07056,
ERR243166,276487400,CEU,EUR,NA07056,
ERR243271,276872200,CEU,EUR,NA07056,
ERR244779,276967200,TSI,EUR,NA20803,
ERR243803,277198400,CEU,EUR,NA07056,
ERR243250,277730200,CEU,EUR,NA07056,
ERR243208,277890800,CEU,EUR,NA07056,
ERR243187,278004800,CEU,EUR,NA07056,
ERR243824,278005400,CEU,EUR,NA07056,
ERR244701,278506200,TSI,EUR,NA20539,
ERR243866,278631200,CEU,EUR,NA07056,
ERR243908,278748800,CEU,EUR,NA07056,
ERR243929,278861600,CEU,EUR,NA07056,
ERR244661,279114400,TSI,EUR,NA20539,
ERR243887,279124400,CEU,EUR,NA07056,
ERR244581,279225600,TSI,EUR,NA20539,
