"taxon_id","rank","name","parent","count","rank_count","perc","tags","health_effects","associated_diseases"
"200643","class","Bacteroidia","Bacteroidetes","31651","53829","0.5879916030392539","","",""
"186801","class","Clostridia","Firmicutes","19996","53829","0.3714726262795148","","",""
"526524","class","Erysipelotrichia","Firmicutes","300","53829","0.005573204034999721","","",""
"909932","class","Negativicutes","Firmicutes","279","53829","0.0051830797525497406","","",""
"203494","class","Verrucomicrobiae","Verrucomicrobia","493","53829","0.009158631964182875","","",""
"","class","other Firmicutes phylum","Firmicutes","21","53829","0.0003901242824499805","","",""
"91061","class","Bacilli","Firmicutes","68","53829","0.0012632595812666035","","",""
"28221","class","Deltaproteobacteria","Proteobacteria","329","53829","0.0061119470917163615","","",""
"28216","class","Betaproteobacteria","Proteobacteria","604","53829","0.011220717457132772","","",""
"84998","class","Coriobacteriia","Actinobacteria","24","53829","0.00044585632279997773","","",""
"1236","class","Gammaproteobacteria","Proteobacteria","19","53829","0.00035296958888331566","","",""
"201174","class","Actinobacteria","Actinobacteria","16","53829","0.0002972375485333185","","",""
"795747","class","Ignavibacteria","Ignavibacteriae","1","53829","0.000018577346783332405","","",""
"","class","other Proteobacteria phylum","Proteobacteria","4","53829","0.00007430938713332962","","",""
"","class","other Cyanobacteria phylum","Cyanobacteria","1","53829","0.000018577346783332405","","",""
"1853221","class","Balneolia","Balneolaeota","1","53829","0.000018577346783332405","","",""
"28211","class","Alphaproteobacteria","Proteobacteria","2","53829","0.00003715469356666481","","",""
"31969","class","Mollicutes","Tenericutes","4","53829","0.00007430938713332962","","",""
"768503","class","Cytophagia","Bacteroidetes","5","53829","0.00009288673391666203","","",""
"1737404","class","Tissierellia","Firmicutes","2","53829","0.00003715469356666481","","",""
"","class","other Bacteroidetes phylum","Bacteroidetes","3","53829","0.000055732040349997216","","",""
"29547","class","Epsilonproteobacteria","Proteobacteria","1","53829","0.000018577346783332405","","",""
"475962","class","Caldilineae","Chloroflexi","1","53829","0.000018577346783332405","","",""
"204430","class","Fibrobacteria","Fibrobacteres","1","53829","0.000018577346783332405","","",""
"191410","class","Chlorobia","Chlorobi","1","53829","0.000018577346783332405","","",""
"1853228","class","Chitinophagia","Bacteroidetes","1","53829","0.000018577346783332405","","",""
"117743","class","Flavobacteriia","Bacteroidetes","1","53829","0.000018577346783332405","","",""
"815","family","Bacteroidaceae","Bacteroidales","29316","53518","0.5477783175753952","","",""
"186803","family","Lachnospiraceae","Clostridiales","8563","53518","0.16000224223625695","","",""
"541000","family","Ruminococcaceae","Clostridiales","9349","53518","0.17468888971934676","","",""
"171550","family","Rikenellaceae","Bacteroidales","1735","53518","0.03241899921521731","","",""
"128827","family","Erysipelotrichaceae","Erysipelotrichales","300","53518","0.005605590642400688","","",""
"31977","family","Veillonellaceae","Veillonellales","266","53518","0.004970290369595277","","",""
"186806","family","Eubacteriaceae","Clostridiales","911","53518","0.017022310250756754","","",""
"","family","other Clostridiales order","Clostridiales","204","53518","0.0038118016368324675","","",""
"1647988","family","Akkermansiaceae","Verrucomicrobiales","493","53518","0.009211853955678462","","",""
"","family","other Firmicutes phylum","other Firmicutes phylum","21","53518","0.0003923913449680481","","",""
"1300","family","Streptococcaceae","Lactobacillales","23","53518","0.0004297619492507194","","",""
"194924","family","Desulfovibrionaceae","Desulfovibrionales","255","53518","0.004764752046040584","","",""
"186804","family","Peptostreptococcaceae","Clostridiales","16","53518","0.00029896483426137","","",""
"171551","family","Porphyromonadaceae","Bacteroidales","262","53518","0.004895549161029934","","",""
"216572","family","Oscillospiraceae","Clostridiales","287","53518","0.0053626817145633245","","",""
