"taxon_id","rank","name","parent","count","rank_count","perc"
"203494","class","Verrucomicrobiae","Verrucomicrobia","2279","48447","0.0470410964559209"
"200643","class","Bacteroidia","Bacteroidetes","21384","48447","0.4413895597250604"
"186801","class","Clostridia","Firmicutes","23571","48447","0.4865316737878506"
"28216","class","Betaproteobacteria","Proteobacteria","337","48447","0.006956055070489401"
"91061","class","Bacilli","Firmicutes","106","48447","0.0021879579746939956"
"526524","class","Erysipelotrichia","Firmicutes","112","48447","0.002311804652506863"
"","class","other Bacteroidetes phylum","Bacteroidetes","6","48447","0.00012384667781286768"
"909932","class","Negativicutes","Firmicutes","194","48447","0.004004375915949388"
"28221","class","Deltaproteobacteria","Proteobacteria","283","48447","0.005841434970173592"
"28211","class","Alphaproteobacteria","Proteobacteria","6","48447","0.00012384667781286768"
"795747","class","Ignavibacteria","Ignavibacteriae","5","48447","0.00010320556484405639"
"201174","class","Actinobacteria","Actinobacteria","105","48447","0.002167316861725184"
"84998","class","Coriobacteriia","Actinobacteria","16","48447","0.00033025780750098045"
"","class","other Firmicutes phylum","Firmicutes","19","48447","0.0003921811464074143"
"","class","other Proteobacteria phylum","Proteobacteria","1","48447","0.000020641112968811278"
"31969","class","Mollicutes","Tenericutes","4","48447","0.00008256445187524511"
"1236","class","Gammaproteobacteria","Proteobacteria","9","48447","0.0001857700167193015"
"533205","class","Holophagae","Acidobacteria","1","48447","0.000020641112968811278"
"1737404","class","Tissierellia","Firmicutes","5","48447","0.00010320556484405639"
"117747","class","Sphingobacteriia","Bacteroidetes","1","48447","0.000020641112968811278"
"768503","class","Cytophagia","Bacteroidetes","1","48447","0.000020641112968811278"
"200930","class","Deferribacteres","Deferribacteres","1","48447","0.000020641112968811278"
"84992","class","Acidimicrobiia","Actinobacteria","1","48447","0.000020641112968811278"
"1647988","family","Akkermansiaceae","Verrucomicrobiales","2274","47919","0.047455080448256436"
"815","family","Bacteroidaceae","Bacteroidales","18855","47919","0.39347649157954045"
"186803","family","Lachnospiraceae","Clostridiales","10064","47919","0.2100210772344999"
"541000","family","Ruminococcaceae","Clostridiales","9724","47919","0.2029257705711722"
"216572","family","Oscillospiraceae","Clostridiales","398","47919","0.008305682505895366"
"","family","other Clostridiales order","Clostridiales","308","47919","0.006427513095014503"
"186806","family","Eubacteriaceae","Clostridiales","2087","47919","0.0435526617834262"
"995019","family","Sutterellaceae","Burkholderiales","335","47919","0.006990963918278762"
"171550","family","Rikenellaceae","Bacteroidales","2052","47919","0.04282226256808364"
"171551","family","Porphyromonadaceae","Bacteroidales","179","47919","0.0037354702727519355"
"186818","family","Planococcaceae","Bacillales","18","47919","0.0003756338821761723"
"128827","family","Erysipelotrichaceae","Erysipelotrichales","112","47919","0.0023372774890961833"
"","family","other Bacteroidetes phylum","other Bacteroidetes phylum","6","47919","0.00012521129405872408"
"31977","family","Veillonellaceae","Veillonellales","177","47919","0.003693733174732361"
"194924","family","Desulfovibrionaceae","Desulfovibrionales","243","47919","0.005071057409378326"
"1853231","family","Odoribacteraceae","Bacteroidales","235","47919","0.004904109017300027"
"41295","family","Rhodospirillaceae","Rhodospirillales","2","47919","0.0000417370980195747"
"1334117","family","Melioribacteraceae","Ignavibacteriales","5","47919","0.00010434274504893674"
"31953","family","Bifidobacteriaceae","Bifidobacteriales","101","47919","0.0021077234499885223"
"543349","family","Symbiobacteriaceae","Clostridiales","72","47919","0.0015025355287046891"
"213116","family","Desulfomicrobiaceae","Desulfovibrionales","34","47919","0.0007095306663327699"
"539003","family","Bacillales Family X. Incertae Sedis","Bacillales","29","47919","0.0006051879212838332"
"543314","family","Clostridiales Family XIII. Incertae Sedis","Clostridiales","156","47919","0.0032554936455268264"
"","family","other Verrucomicrobiales order","Verrucomicrobiales","3","47919","0.00006260564702936204"
"31979","family","Clostridiaceae","Clostridiales","156","47919","0.0032554936455268264"
"1643824","family","Atopobiaceae","Coriobacteriales","7","47919","0.00014607984306851145"
"171552","family","Prevotellaceae","Bacteroidales","53","47919","0.0011060330975187296"
"1643826","family","Eggerthellaceae","Eggerthellales","8","47919","0.0001669483920782988"
"","family","other Actinobacteria class","other Actinobacteria class","3","47919","0.00006260564702936204"
"","family","other Bacillales order","Bacillales","2","47919","0.0000417370980195747"
"","family","other Clostridia class","other Clostridia class","9","47919","0.00018781694108808614"
"81850","family","Leuconostocaceae","Lactobacillales","6","47919","0.00012521129405872408"
"1892252","family","Microcoleaceae","Oscillatoriales","5","47919","0.00010434274504893674"
"186822","family","Paenibacillaceae","Bacillales","13","47919","0.00027129113712723557"
"990719","family","Christensenellaceae","Clostridiales","1","47919","0.00002086854900978735"
"1843490","family","Sporomusaceae","Selenomonadales","13","47919","0.00027129113712723557"
"186827","family","Aerococcaceae","Lactobacillales","3","47919","0.00006260564702936204"
"33958","family","Lactobacillaceae","Lactobacillales","7","47919","0.00014607984306851145"
"","family","other Firmicutes phylum","other Firmicutes phylum","19","47919","0.0003965024311859596"
"186807","family","Peptococcaceae","Clostridiales","39","47919","0.0008138734113817066"
"","family","other Bacteroidales order","Bacteroidales","7","47919","0.00014607984306851145"
"","family","other Proteobacteria phylum","other Proteobacteria phylum","1","47919","0.00002086854900978735"
"1300","family","Streptococcaceae","Lactobacillales","23","47919","0.00047997662722510905"
"2092","family","Mycoplasmataceae","Mycoplasmatales","1","47919","0.00002086854900978735"
"1573805","family","Marinifilaceae","Bacteroidales","3","47919","0.00006260564702936204"
"72275","family","Alteromonadaceae","Alteromonadales","2","47919","0.0000417370980195747"
"574976","family","Holophagaceae","Holophagales","1","47919","0.00002086854900978735"
"186804","family","Peptostreptococcaceae","Clostridiales","19","47919","0.0003965024311859596"
"2146","family","Acholeplasmataceae","Acholeplasmatales","2","47919","0.0000417370980195747"
"203557","family","Verrucomicrobiaceae","Verrucomicrobiales","2","47919","0.0000417370980195747"
"69657","family","Hyphomonadaceae","Rhodobacterales","2","47919","0.0000417370980195747"
"","family","other Burkholderiales order","Burkholderiales","1","47919","0.00002086854900978735"
"68298","family","Syntrophomonadaceae","Clostridiales","4","47919","0.0000834741960391494"
"909930","family","Acidaminococcaceae","Acidaminococcales","3","47919","0.00006260564702936204"
"213119","family","Desulfobacteraceae","Desulfobacterales","1","47919","0.00002086854900978735"
"84107","family","Coriobacteriaceae","Coriobacteriales","1","47919","0.00002086854900978735"
"28256","family","Halomonadaceae","Oceanospirillales","2","47919","0.0000417370980195747"
