"taxon_id","rank","name","parent","count","rank_count","perc"
"186801","class","Clostridia","Firmicutes","16248","38736","0.419454770755886"
"200643","class","Bacteroidia","Bacteroidetes","19446","38736","0.5020136307311028"
"28216","class","Betaproteobacteria","Proteobacteria","570","38736","0.014714993804213134"
"201174","class","Actinobacteria","Actinobacteria","61","38736","0.0015747624948368442"
"203494","class","Verrucomicrobiae","Verrucomicrobia","1401","38736","0.036167905824039656"
"526524","class","Erysipelotrichia","Firmicutes","172","38736","0.004440313919867823"
"28221","class","Deltaproteobacteria","Proteobacteria","345","38736","0.008906443618339529"
"909932","class","Negativicutes","Firmicutes","203","38736","0.005240603056588186"
"84998","class","Coriobacteriia","Actinobacteria","27","38736","0.0006970260223048327"
"","class","other Firmicutes phylum","Firmicutes","17","38736","0.00043886823626600576"
"91061","class","Bacilli","Firmicutes","124","38736","0.003201156546881454"
"1737404","class","Tissierellia","Firmicutes","86","38736","0.0022201569599339115"
"1236","class","Gammaproteobacteria","Proteobacteria","14","38736","0.0003614209004543577"
"768503","class","Cytophagia","Bacteroidetes","2","38736","0.00005163155720776539"
"28211","class","Alphaproteobacteria","Proteobacteria","8","38736","0.00020652622883106156"
"1853228","class","Chitinophagia","Bacteroidetes","3","38736","0.00007744733581164808"
"31969","class","Mollicutes","Tenericutes","1","38736","0.000025815778603882695"
"","class","other Proteobacteria phylum","Proteobacteria","3","38736","0.00007744733581164808"
"795747","class","Ignavibacteria","Ignavibacteriae","1","38736","0.000025815778603882695"
"1497346","class","Thermoleophilia","Actinobacteria","1","38736","0.000025815778603882695"
"","class","other Bacteroidetes phylum","Bacteroidetes","1","38736","0.000025815778603882695"
"414999","class","Opitutae","Verrucomicrobia","1","38736","0.000025815778603882695"
"1853221","class","Balneolia","Balneolaeota","1","38736","0.000025815778603882695"
"186803","family","Lachnospiraceae","Clostridiales","5888","37873","0.1554669553507776"
"815","family","Bacteroidaceae","Bacteroidales","17953","37873","0.4740316320333747"
"995019","family","Sutterellaceae","Burkholderiales","566","37873","0.01494468354764608"
"541000","family","Ruminococcaceae","Clostridiales","7149","37873","0.1887624429012753"
"","family","other Actinobacteria class","other Actinobacteria class","2","37873","0.00005280806907295435"
"171550","family","Rikenellaceae","Bacteroidales","673","37873","0.017769915243049137"
"186806","family","Eubacteriaceae","Clostridiales","1232","37873","0.03252977054893988"
"1647988","family","Akkermansiaceae","Verrucomicrobiales","1397","37873","0.03688643624745861"
"216572","family","Oscillospiraceae","Clostridiales","411","37873","0.010852058194492118"
"128827","family","Erysipelotrichaceae","Erysipelotrichales","172","37873","0.004541493940274074"
"171551","family","Porphyromonadaceae","Bacteroidales","314","37873","0.008290866844453832"
"194924","family","Desulfovibrionaceae","Desulfovibrionales","307","37873","0.008106038602698493"
"31977","family","Veillonellaceae","Veillonellales","196","37873","0.005175190769149526"
"84107","family","Coriobacteriaceae","Coriobacteriales","1","37873","0.000026404034536477173"
"1853231","family","Odoribacteraceae","Bacteroidales","170","37873","0.004488685871201119"
"","family","other Firmicutes phylum","other Firmicutes phylum","17","37873","0.00044886858712011197"
"909930","family","Acidaminococcaceae","Acidaminococcales","6","37873","0.00015842420721886305"
"171552","family","Prevotellaceae","Bacteroidales","323","37873","0.008528503155282127"
"","family","other Clostridiales order","Clostridiales","427","37873","0.011274522747075752"
"539003","family","Bacillales Family X. Incertae Sedis","Bacillales","14","37873","0.00036965648351068044"
"543314","family","Clostridiales Family XIII. Incertae Sedis","Clostridiales","112","37873","0.0029572518680854435"
"31979","family","Clostridiaceae","Clostridiales","114","37873","0.003010059937158398"
"186807","family","Peptococcaceae","Clostridiales","18","37873","0.0004752726216565891"
"1643826","family","Eggerthellaceae","Eggerthellales","19","37873","0.0005016766561930663"
"186804","family","Peptostreptococcaceae","Clostridiales","19","37873","0.0005016766561930663"
"1570339","family","Peptoniphilaceae","Tissierellales","85","37873","0.0022443429356005596"
"","family","other Bacteroidales order","Bacteroidales","5","37873","0.00013202017268238586"
"1300","family","Streptococcaceae","Lactobacillales","65","37873","0.0017162622448710163"
"28256","family","Halomonadaceae","Oceanospirillales","1","37873","0.000026404034536477173"
"33958","family","Lactobacillaceae","Lactobacillales","9","37873","0.00023763631082829455"
"","family","other Enterobacterales order","Enterobacterales","4","37873","0.0001056161381459087"
"31953","family","Bifidobacteriaceae","Bifidobacteriales","34","37873","0.0008977371742402239"
"81852","family","Enterococcaceae","Lactobacillales","4","37873","0.0001056161381459087"
"1643824","family","Atopobiaceae","Coriobacteriales","7","37873","0.00018482824175534022"
"81850","family","Leuconostocaceae","Lactobacillales","6","37873","0.00015842420721886305"
"186818","family","Planococcaceae","Bacillales","9","37873","0.00023763631082829455"
