"taxon_id","rank","name","parent","count","rank_count","perc"
"186801","class","Clostridia","Firmicutes","14901","27064","0.5505838013597398"
"200643","class","Bacteroidia","Bacteroidetes","11442","27064","0.42277564292048475"
"28216","class","Betaproteobacteria","Proteobacteria","192","27064","0.007094295004433935"
"91061","class","Bacilli","Firmicutes","77","27064","0.0028451078924031925"
"203494","class","Verrucomicrobiae","Verrucomicrobia","78","27064","0.002882057345551286"
"28221","class","Deltaproteobacteria","Proteobacteria","193","27064","0.007131244457582028"
"526524","class","Erysipelotrichia","Firmicutes","66","27064","0.002438663907774165"
"909932","class","Negativicutes","Firmicutes","43","27064","0.0015888264853680166"
"","class","other Firmicutes phylum","Firmicutes","23","27064","0.0008498374224061484"
"1236","class","Gammaproteobacteria","Proteobacteria","8","27064","0.0002955956251847473"
"201174","class","Actinobacteria","Actinobacteria","12","27064","0.0004433934377771209"
"117747","class","Sphingobacteriia","Bacteroidetes","1","27064","0.00003694945314809341"
"1853221","class","Balneolia","Balneolaeota","1","27064","0.00003694945314809341"
"84998","class","Coriobacteriia","Actinobacteria","19","27064","0.0007020396098137748"
"31969","class","Mollicutes","Tenericutes","3","27064","0.00011084835944428023"
"475962","class","Caldilineae","Chloroflexi","1","27064","0.00003694945314809341"
"","class","other Bacteroidetes phylum","Bacteroidetes","1","27064","0.00003694945314809341"
"1737404","class","Tissierellia","Firmicutes","1","27064","0.00003694945314809341"
"533205","class","Holophagae","Acidobacteria","1","27064","0.00003694945314809341"
"649775","class","Synergistia","Synergistetes","1","27064","0.00003694945314809341"
"541000","family","Ruminococcaceae","Clostridiales","8025","26794","0.2995073523923266"
"815","family","Bacteroidaceae","Bacteroidales","10322","26794","0.38523550048518324"
"186803","family","Lachnospiraceae","Clostridiales","3543","26794","0.13223109651414497"
"186806","family","Eubacteriaceae","Clostridiales","1635","26794","0.06102112413226842"
"543314","family","Clostridiales Family XIII. Incertae Sedis","Clostridiales","469","26794","0.01750391878778831"
"995019","family","Sutterellaceae","Burkholderiales","182","26794","0.006792565499738747"
"1300","family","Streptococcaceae","Lactobacillales","18","26794","0.0006717921922818541"
"1853231","family","Odoribacteraceae","Bacteroidales","164","26794","0.006120773307456894"
"171550","family","Rikenellaceae","Bacteroidales","838","26794","0.03127565872956632"
"216572","family","Oscillospiraceae","Clostridiales","439","26794","0.01638426513398522"
"","family","other Lactobacillales order","Lactobacillales","3","26794","0.00011196536538030902"
"186807","family","Peptococcaceae","Clostridiales","8","26794","0.0002985743076808241"
"","family","other Clostridiales order","Clostridiales","342","26794","0.01276405165335523"
"1647988","family","Akkermansiaceae","Verrucomicrobiales","78","26794","0.0029110994998880345"
"31979","family","Clostridiaceae","Clostridiales","146","26794","0.005448981115175039"
"194924","family","Desulfovibrionaceae","Desulfovibrionales","173","26794","0.00645666940359782"
"128827","family","Erysipelotrichaceae","Erysipelotrichales","66","26794","0.0024632380383667984"
"171551","family","Porphyromonadaceae","Bacteroidales","102","26794","0.0038068224229305067"
"1843490","family","Sporomusaceae","Selenomonadales","1","26794","0.00003732178846010301"
"186818","family","Planococcaceae","Bacillales","16","26794","0.0005971486153616482"
"53434","family","Halobacteroidaceae","Halanaerobiales","1","26794","0.00003732178846010301"
"31977","family","Veillonellaceae","Veillonellales","37","26794","0.0013809061730238113"
"186822","family","Paenibacillaceae","Bacillales","13","26794","0.0004851832499813391"
"75682","family","Oxalobacteraceae","Burkholderiales","10","26794","0.0003732178846010301"
"81850","family","Leuconostocaceae","Lactobacillales","1","26794","0.00003732178846010301"
"213116","family","Desulfomicrobiaceae","Desulfovibrionales","15","26794","0.0005598268269015451"
"","family","other Firmicutes phylum","other Firmicutes phylum","23","26794","0.0008584011345823692"
"","family","other Clostridia class","other Clostridia class","8","26794","0.0002985743076808241"
"","family","other Enterobacterales order","Enterobacterales","2","26794","0.00007464357692020602"
"171552","family","Prevotellaceae","Bacteroidales","15","26794","0.0005598268269015451"
"31953","family","Bifidobacteriaceae","Bifidobacteriales","9","26794","0.00033589609614092706"
"33958","family","Lactobacillaceae","Lactobacillales","12","26794","0.0004478614615212361"
"84566","family","Sphingobacteriaceae","Sphingobacteriales","1","26794","0.00003732178846010301"
"1813606","family","Balneolaceae","Balneolales","1","26794","0.00003732178846010301"
"543349","family","Symbiobacteriaceae","Clostridiales","4","26794","0.00014928715384041204"
"1643826","family","Eggerthellaceae","Eggerthellales","18","26794","0.0006717921922818541"
"68298","family","Syntrophomonadaceae","Clostridiales","4","26794","0.00014928715384041204"
"2146","family","Acholeplasmataceae","Acholeplasmatales","3","26794","0.00011196536538030902"
"186804","family","Peptostreptococcaceae","Clostridiales","5","26794","0.00018660894230051504"
"539003","family","Bacillales Family X. Incertae Sedis","Bacillales","11","26794","0.0004105396730611331"
"972","family","Halanaerobiaceae","Halanaerobiales","3","26794","0.00011196536538030902"
"468","family","Moraxellaceae","Pseudomonadales","1","26794","0.00003732178846010301"
"1524215","family","Anaeromyxobacteraceae","Myxococcales","2","26794","0.00007464357692020602"
"715221","family","Caldicoprobacteraceae","Clostridiales","1","26794","0.00003732178846010301"
"","family","other Bacteroidales order","Bacteroidales","1","26794","0.00003732178846010301"
"909930","family","Acidaminococcaceae","Acidaminococcales","2","26794","0.00007464357692020602"
"1046","family","Chromatiaceae","Chromatiales","1","26794","0.00003732178846010301"
"475964","family","Caldilineaceae","Caldilineales","1","26794","0.00003732178846010301"
"","family","other Bacteroidetes phylum","other Bacteroidetes phylum","1","26794","0.00003732178846010301"
"","family","other Gammaproteobacteria class","other Gammaproteobacteria class","3","26794","0.00011196536538030902"
"543","family","Enterobacteriaceae","Enterobacterales","1","26794","0.00003732178846010301"
"","family","other Desulfovibrionales order","Desulfovibrionales","3","26794","0.00011196536538030902"
"1843491","family","Selenomonadaceae","Selenomonadales","3","26794","0.00011196536538030902"
"1643824","family","Atopobiaceae","Coriobacteriales","1","26794","0.00003732178846010301"
"186817","family","Bacillaceae","Bacillales","1","26794","0.00003732178846010301"
"2049","family","Actinomycetaceae","Actinomycetales","3","26794","0.00011196536538030902"
"574976","family","Holophagaceae","Holophagales","1","26794","0.00003732178846010301"
