Sig	sample1to3.median	sample1to3.mean	sample1to3.sd	Sample4	sample4.z
Psomagen Gut Health Score	64	64.3333333333333	0.577350269189626	45	-33.4863156129983
Psomagen Lifestyle Status	70	70	0	60	-Inf
Psomagen Nutrition Utility	44	42	3.46410161513775	42	0
Psomagen Metabolic Supply	74	75.3333333333333	2.3094010767585	66	-4.04145188432738
Psomagen Metabolic Concern	75	73.6666666666667	3.21455025366432	54	-6.11801499890951
Psomagen Microbial Diversity	55	56.6666666666667	5.68624070307733	60	0.58621038176055
Viome Active Microbial Diversity (Percentile)	8	7.25	5.61990510002912	15	1.37902684512588
Viome Gut Microbiome Health	43.5	43	5.71547606649408	40	-0.524890659167824
Viome Inflammatory Activity	38.5	39	4.24264068711928	41	0.471404520791032
Viome Metabolic Fitness	28.5	28.75	1.70782512765993	30	0.7319250547114
Viome Digestive Efficacy	59	57.5	12.4766448481419	47	-0.841572404103792
Viome Gut Lining Health	67.5	68.5	2.38047614284762	70	0.630126037812604
Viome Protein Fermentation	46.5	49	19.7484176581315	71	1.11401330379203
Viome Gas Production	38	41.75	15.5857841210081	45	0.208523355306797
thryve Gut Wellness Score	81	79.6666666666667	2.3094010767585	70	-4.18578945162479
thryve Gut Diversity Score	93	91	4.35889894354067	92	0.229415733870562
