Genus	Ombre5	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	thryve2	thryve3a	thryve3b	thryve4	Kean5	Psomagen1a
Archaea_unclassified	0	0	0	0	0.00517759138448794	0	0	0	0	0	0
Actinobacteria_unclassified	0	0	0	0	0.00517759138448794	0	0	0	0	0.00120781334452574	0
Actinomyces	0.0140698426991586	0	0	0.00881600987393106	0.0103551827689759	0	0	0.00476235831983998	0	0.00664297339489155	0.00114676707249479
Mobiluncus	0.0112558741593269	0	0	0	0	0	0	0	0	0.00785078673941729	0
Bifidobacteriaceae_unclassified	0.0112558741593269	0	0	0.00881600987393106	0.0103551827689759	0	0	0	0.00265244953714756	0.00241562668905147	0.00152902276332639
Bifidobacterium	0.0675352449559614	0.00508362564180774	0.00706913615156228	0	0.0673086879983432	0.014099258781824	0.00550478916657492	0.0238117915991999	0.164451871303148	0.0733746606799385	0.021788574377401
Corynebacterium_1	0.0196977797788221	0	0	0	0	0	0	0	0	0.0612965272346812	0
Lawsonella	0.00281396853983172	0	0	0	0	0	0	0	0	0.00875664674781159	0
Brevibacterium	0.0196977797788221	0	0	0	0	0	0	0	0	0.0332148669744578	0
Paenarthrobacter	0	0	0	0	0	0	0	0	0.00265244953714756	0	0
Collinsella	0	0	0	0.00881600987393106	0	0.00201417982597486	0	0	0	0	0
Coriobacteriales_unclassified	0	0.00508362564180774	0.00706913615156228	0.00881600987393106	0.0103551827689759	0	0	0	0	0.000301953336131434	0
Adlercreutzia	0.00844190561949517	0.020334502567231	0.0636222253640605	0.0617120691175174	0.170860515688102	0.00604253947792459	0.00550478916657492	0.00952471663967997	0.0344818439829182	0.0452930004197151	0.0309627109573594
DNF00809	0.00281396853983172	0	0	0	0	0.00201417982597486	0	0.00238117915991999	0.00265244953714756	0.000603906672262869	0
Eggerthella	0.030953653938149	0.00508362564180774	0.00706913615156228	0.0264480296217932	0.0569535052293673	0.00805671930389945	0.00550478916657492	0.0119058957996	0.0689636879658364	0.032007053629932	0.0191127845415799
Eggerthellaceae_unclassified	0	0.00508362564180774	0.0212074084546868	0.0705280789914485	0.0258879569224397	0	0	0.00238117915991999	0.00265244953714756	0.00392539336970864	0.00191127845415799
Gordonibacter	0.00562793707966345	0	0.0212074084546868	0.0264480296217932	0.0414207310759035	0.00402835965194973	0	0.00238117915991999	0.00530489907429511	0.00694492673102299	0.00229353414498958
Slackia	0	0	0	0	0.00517759138448794	0	0	0	0	0	0
Bacteroidetes_unclassified	0.00562793707966345	0.0610035077016928	0.134313586879683	0.132240148108966	0.0258879569224397	0.00604253947792459	0.00275239458328746	0	0	0.0129839934536517	0.0149079719424323
Bacteroides	46.3573177251878	41.1316150678664	38.7176587021066	34.7703429427841	8.53784819302061	54.5319046084434	38.1894748431135	34.3080293361272	9.01832842630169	51.1979998611015	48.4134477552035
Bacteroidales_unclassified	0.154768269690745	5.07345839052412	5.40788915594514	5.11328572688001	1.57916537226882	0.195375443119562	0.209181988329847	0.157157824554719	0.0928357338001645	0.407335050441305	0.62231226467384
Barnesiella	0	0	0	0	0	0.00402835965194973	0	0	0	0	0
Dysgonomonadaceae_unclassified	0	0	0.00706913615156228	0	0	0	0	0	0	0	0
Butyricimonas	0.264513042744182	0.355853794926542	0.141382723031246	0.537776602309795	0.419384902143523	0.235659039639059	0.225696355829572	0.180969616153919	0.270549852789051	0.36838307008035	0.620018730528851
Marinifilaceae_unclassified	0	0	0	0.00881600987393106	0.00517759138448794	0	0	0	0	0.000301953336131434	0.000382255690831597
Odoribacter	0.160396206770408	0.320268415433887	0.240350629153118	0.202768227100414	0.129439784612198	0.286013535288431	0.264229879995596	0.197637870273359	0.153842073154558	0.200497015191272	0.810382064562986
Muribaculaceae_ge	0	0	0	0	0	0.00201417982597486	0	0	0.00265244953714756	0	0.000382255690831597
H1	0	0	0.00706913615156228	0.0440800493696553	0	0	0	0	0	0	0
Paludibacteraceae_unclassified	0	0.0101672512836155	0	0.0264480296217932	0	0	0	0	0	0	0
Porphyromonas	0.199791766328052	0	0	0	0	0	0	0	0	0.314031469576692	0.000382255690831597
Paraprevotella	0	0	0	0	0	0	0	0	0.00265244953714756	0	0.000764511381663194
Prevotella	0.661282606860455	0	0	0	0	0	0	0.00238117915991999	0.00265244953714756	0.394049103651522	0.00191127845415799
Prevotella_2	0	0	0	0	0	0.00201417982597486	0.00275239458328746	0	0	0	0
Prevotella_6	0	0	0	0	0.00517759138448794	0	0.00275239458328746	0	0	0.00301953336131434	0
Prevotella_9	0.050651433716971	0	0	0.0264480296217932	0	0.0120850789558492	0.0330287349994495	0.0452424040384799	0.00795734861144267	0.0111722734368631	0
