Genus	Ombre5	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	thryve2	thryve3a	thryve3b	thryve4
Archaea_unclassified	0	0	0	0	0.00517759138448794	0	0	0	0
Actinobacteria_unclassified	0	0	0	0	0.00517759138448794	0	0	0	0
Actinomyces	0.0140698426991586	0	0	0.00881600987393106	0.0103551827689759	0	0	0.00476235831983998	0
Mobiluncus	0.0112558741593269	0	0	0	0	0	0	0	0
Bifidobacteriaceae_unclassified	0.0112558741593269	0	0	0.00881600987393106	0.0103551827689759	0	0	0	0.00265244953714756
Bifidobacterium	0.0675352449559614	0.00508362564180774	0.00706913615156228	0	0.0673086879983432	0.014099258781824	0.00550478916657492	0.0238117915991999	0.164451871303148
Corynebacterium_1	0.0196977797788221	0	0	0	0	0	0	0	0
Lawsonella	0.00281396853983172	0	0	0	0	0	0	0	0
Brevibacterium	0.0196977797788221	0	0	0	0	0	0	0	0
Paenarthrobacter	0	0	0	0	0	0	0	0	0.00265244953714756
Collinsella	0	0	0	0.00881600987393106	0	0.00201417982597486	0	0	0
Coriobacteriales_unclassified	0	0.00508362564180774	0.00706913615156228	0.00881600987393106	0.0103551827689759	0	0	0	0
Adlercreutzia	0.00844190561949517	0.020334502567231	0.0636222253640605	0.0617120691175174	0.170860515688102	0.00604253947792459	0.00550478916657492	0.00952471663967997	0.0344818439829182
DNF00809	0.00281396853983172	0	0	0	0	0.00201417982597486	0	0.00238117915991999	0.00265244953714756
Eggerthella	0.030953653938149	0.00508362564180774	0.00706913615156228	0.0264480296217932	0.0569535052293673	0.00805671930389945	0.00550478916657492	0.0119058957996	0.0689636879658364
Eggerthellaceae_unclassified	0	0.00508362564180774	0.0212074084546868	0.0705280789914485	0.0258879569224397	0	0	0.00238117915991999	0.00265244953714756
Gordonibacter	0.00562793707966345	0	0.0212074084546868	0.0264480296217932	0.0414207310759035	0.00402835965194973	0	0.00238117915991999	0.00530489907429511
Slackia	0	0	0	0	0.00517759138448794	0	0	0	0
Bacteroidetes_unclassified	0.00562793707966345	0.0610035077016928	0.134313586879683	0.132240148108966	0.0258879569224397	0.00604253947792459	0.00275239458328746	0	0
Bacteroides	46.3573177251878	41.1316150678664	38.7176587021066	34.7703429427841	8.53784819302061	54.5319046084434	38.1894748431135	34.3080293361272	9.01832842630169
Bacteroidales_unclassified	0.154768269690745	5.07345839052412	5.40788915594514	5.11328572688001	1.57916537226882	0.195375443119562	0.209181988329847	0.157157824554719	0.0928357338001645
Barnesiella	0	0	0	0	0	0.00402835965194973	0	0	0
Dysgonomonadaceae_unclassified	0	0	0.00706913615156228	0	0	0	0	0	0
Butyricimonas	0.264513042744182	0.355853794926542	0.141382723031246	0.537776602309795	0.419384902143523	0.235659039639059	0.225696355829572	0.180969616153919	0.270549852789051
Marinifilaceae_unclassified	0	0	0	0.00881600987393106	0.00517759138448794	0	0	0	0
Odoribacter	0.160396206770408	0.320268415433887	0.240350629153118	0.202768227100414	0.129439784612198	0.286013535288431	0.264229879995596	0.197637870273359	0.153842073154558
Muribaculaceae_ge	0	0	0	0	0	0.00201417982597486	0	0	0.00265244953714756
H1	0	0	0.00706913615156228	0.0440800493696553	0	0	0	0	0
Paludibacteraceae_unclassified	0	0.0101672512836155	0	0.0264480296217932	0	0	0	0	0
Porphyromonas	0.199791766328052	0	0	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	0	0	0	0.00265244953714756
Prevotella	0.661282606860455	0	0	0	0	0	0	0.00238117915991999	0.00265244953714756
Prevotella_2	0	0	0	0	0	0.00201417982597486	0.00275239458328746	0	0
Prevotella_6	0	0	0	0	0.00517759138448794	0	0.00275239458328746	0	0
Prevotella_9	0.050651433716971	0	0	0.0264480296217932	0	0.0120850789558492	0.0330287349994495	0.0452424040384799	0.00795734861144267
Prevotellaceae_Ga6A1_group	0	0.00508362564180774	0	0	0	0	0	0	0
Prevotellaceae_unclassified	0.0168838112389903	0	0.00706913615156228	0	0	0	0	0	0
Alistipes	1.65742746996089	1.98769762594683	2.69334087374523	5.26315789473684	6.17168893030962	3.06759587495972	3.94142904326764	4.41946852081151	7.2120102915042
Mucinivorans	0	0	0	0.00881600987393106	0	0	0	0	0
Rikenellaceae_unclassified	0	0.101672512836155	0.106037042273434	0.220400246848276	0.289945117531324	0.00805671930389945	0.0192667620830122	0.0119058957996	0.0397867430572133
Parabacteroides	0.559979739426513	0.167759646179655	0.438286441396861	0.105792118487173	0.077663870767319	0.453190460844344	0.327534955411208	0.302409753309839	0.106097981485902
Tannerellaceae_unclassified	0.00281396853983172	0.0762543846271161	0.049483953060936	0.0352640394957242	0.0258879569224397	0	0.0110095783331498	0.00238117915991999	0
Bacteroidia_unclassified	0.0731631820356248	1.56067307203498	1.77435317404213	1.63096182667725	1.10282696489593	0.112794070254592	0.15138170208081	0.10953424135632	0.0344818439829182
Gastranaerophilales_ge	0	0	0	0.0969761086132416	0.00517759138448794	0	0.211934382913134	0.159539003714639	0.0159146972228853
Chloroplast_ge	0	0	0	0	0	0	0	0	0.00795734861144267
Bacilli_unclassified	0	0.00508362564180774	0	0	0.00517759138448794	0	0	0	0
Carnobacteriaceae_unclassified	0	0	0	0	0	0	0	0.00238117915991999	0
Granulicatella	0.00281396853983172	0.00508362564180774	0	0.00881600987393106	0.0103551827689759	0	0	0	0
Enterococcus	0	0	0	0	0	0	0	0	0.00265244953714756
Tetragenococcus	0.00844190561949517	0	0	0	0	0	0	0	0
Lactobacillus	0.00281396853983172	0	0	0	0	0.00201417982597486	0.00275239458328746	0	0
Lactobacillales_unclassified	0	0	0	0	0.0207103655379517	0	0	0.00238117915991999	0.0132622476857378
Lactococcus	0.0281396853983172	0	0	0	0	0	0.0220191566662997	0.0119058957996	0.0397867430572133
Streptococcaceae_unclassified	0.00281396853983172	0	0	0	0	0	0	0	0.00530489907429511
Streptococcus	0.123814615752596	0.0152508769254232	0	0	0.129439784612198	0.0382694166935224	0.0192667620830122	0.0571482998380798	0.307684146309116
